species,status,synonym
Asclepias verticillata,rare,
Asclepias syriaca,common,
Symphyotrichum pilosum,common,Symphyotrichum lateriflorum
Symphyotrichum lateriflorum,common,Symphyotrichum pilosum
Eupatorium perfoliatum,common,
Solidago speciosa,rare,
Asclepias purpurascens,rare,
Solidago gigantea,common,Solidago juncea
Solidago juncea,common,Solidago gigantea
Solidago canadensis,common,
Asclepias syriaca,common,
Phlox paniculata,common,
Oenothera biennis,common,
