"model.code","state","band.code","value","dset_name","band","model","loss","lr","epoch","exp_id","pretrained","batch_size","metric","weight","thres","date"
"bioclim","ny","band-1",0.686717124832847,"plants_ny_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,7,"bioclim_ny_2017","NONE",150,"calibrated_ROC_AUC","nan",NA,"2026-05-26"
"bioclim","ny","band-1",0.030104187534092,"plants_ny_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,7,"bioclim_ny_2017","NONE",150,"calibrated_PRC_AUC","nan",NA,"2026-05-26"
"bioclim","pa","band-1",0.0187909960439568,"plants_pa_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,8,"bioclim_pa_2017","NONE",150,"precision_score","macro",0.5,"2026-05-26"
"bioclim","pa","band-1",0.026703087757861,"plants_pa_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,8,"bioclim_pa_2017","NONE",150,"precision_score","micro",0.5,"2026-05-26"
"bioclim","pa","band-1",0.0393186015063866,"plants_pa_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,8,"bioclim_pa_2017","NONE",150,"precision_score","weighted",0.5,"2026-05-26"
"bioclim","pa","band-1",0.0265467712611396,"plants_pa_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,8,"bioclim_pa_2017","NONE",150,"precision_score","samples",0.5,"2026-05-26"
"bioclim","pa","band-1",0.492819053928881,"plants_pa_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,8,"bioclim_pa_2017","NONE",150,"recall_score","macro",0.5,"2026-05-26"
"bioclim","pa","band-1",0.792312693808142,"plants_pa_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,8,"bioclim_pa_2017","NONE",150,"recall_score","micro",0.5,"2026-05-26"
"bioclim","pa","band-1",0.792312693808142,"plants_pa_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,8,"bioclim_pa_2017","NONE",150,"recall_score","weighted",0.5,"2026-05-26"
"bioclim","pa","band-1",0.79908983349197,"plants_pa_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,8,"bioclim_pa_2017","NONE",150,"recall_score","samples",0.5,"2026-05-26"
"bioclim","pa","band-1",0.0335914372002292,"plants_pa_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,8,"bioclim_pa_2017","NONE",150,"f1_score","macro",0.5,"2026-05-26"
"bioclim","pa","band-1",0.0516649272715413,"plants_pa_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,8,"bioclim_pa_2017","NONE",150,"f1_score","micro",0.5,"2026-05-26"
"bioclim","pa","band-1",0.0731735871446234,"plants_pa_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,8,"bioclim_pa_2017","NONE",150,"f1_score","weighted",0.5,"2026-05-26"
"bioclim","pa","band-1",0.0474323848828648,"plants_pa_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,8,"bioclim_pa_2017","NONE",150,"f1_score","samples",0.5,"2026-05-26"
"bioclim","pa","band-1",0.018550884236483,"plants_pa_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,8,"bioclim_pa_2017","NONE",150,"jaccard_score","macro",0.5,"2026-05-26"
"bioclim","pa","band-1",0.0265174753535538,"plants_pa_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,8,"bioclim_pa_2017","NONE",150,"jaccard_score","micro",0.5,"2026-05-26"
"bioclim","pa","band-1",0.0390107295362861,"plants_pa_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,8,"bioclim_pa_2017","NONE",150,"jaccard_score","weighted",0.5,"2026-05-26"
"bioclim","pa","band-1",0.0258568880309403,"plants_pa_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,8,"bioclim_pa_2017","NONE",150,"jaccard_score","samples",0.5,"2026-05-26"
"bioclim","pa","band-1",0.107265617887707,"plants_pa_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,8,"bioclim_pa_2017","NONE",150,"label_ranking_average_precision_score","nan",NA,"2026-05-26"
"bioclim","pa","band-1",0.800521648408972,"plants_pa_2017",-1,"BIOCLIM_MLP","SAMPLE_AWARE_BCE",1e-05,8,"bioclim_pa_2017","NONE",150,"zero_one_accuracy","nan",0.5,"2026-05-26"
