"genus","species","pa","ny","total","pa.pc","ny.pc"
"Salix","Salix pendulina",4,8,12,33.3333333333333,66.6666666666667
"Salix","Salix purpurea",1,19,20,5,95
"Salvia","Salvia coccinea",1,3,4,25,75
"Salvia","Salvia glutinosa",1,4,5,20,80
"Salvia","Salvia lyrata",46,4,50,92,8
"Salvia","Salvia officinalis",53,60,113,46.9026548672566,53.0973451327434
"Salvia","Salvia pratensis",3,2,5,60,40
"Salvia","Salvia sclarea",7,0,7,100,0
"Salvia","Salvia verticillata",3,10,13,23.0769230769231,76.9230769230769
"Sambucus","Sambucus canadensis",378,491,869,43.4982738780207,56.5017261219793
"Sambucus","Sambucus javanica",1,0,1,100,0
"Sambucus","Sambucus racemosa",160,284,444,36.036036036036,63.963963963964
"Sanguinaria","Sanguinaria canadensis",1085,1192,2277,47.6504172156346,52.3495827843654
"Sanguisorba","Sanguisorba canadensis",11,29,40,27.5,72.5
"Sanguisorba","Sanguisorba officinalis",2,0,2,100,0
"Sanicula","Sanicula canadensis",21,22,43,48.8372093023256,51.1627906976744
"Sanicula","Sanicula marilandica",1,2,3,33.3333333333333,66.6666666666667
"Sanicula","Sanicula odorata",48,12,60,80,20
"Sanicula","Sanicula trifoliata",1,4,5,20,80
"Saponaria","Saponaria ocymoides",3,1,4,75,25
"Saponaria","Saponaria officinalis",293,713,1006,29.1252485089463,70.8747514910537
"Sarracenia","Sarracenia purpurea",2,12,14,14.2857142857143,85.7142857142857
"Sassafras","Sassafras albidum",1369,1701,3070,44.5928338762215,55.4071661237785
"Sauromatum","Sauromatum venosum",1,0,1,100,0
"Saururus","Saururus cernuus",116,124,240,48.3333333333333,51.6666666666667
"Saxifraga","Saxifraga stolonifera",2,1,3,66.6666666666667,33.3333333333333
"Scapania","Scapania undulata",1,1,2,50,50
"Sceptridium","Sceptridium biternatum",1,0,1,100,0
"Sceptridium","Sceptridium dissectum",77,47,124,62.0967741935484,37.9032258064516
"Sceptridium","Sceptridium oneidense",1,3,4,25,75
"Schistidium","Schistidium rivulare",1,0,1,100,0
"Schizachyrium","Schizachyrium scoparium",47,113,160,29.375,70.625
"Schoenoplectiella","Schoenoplectiella mucronata",2,1,3,66.6666666666667,33.3333333333333
"Schoenoplectus","Schoenoplectus pungens",5,22,27,18.5185185185185,81.4814814814815
