"genus","species","pa","ny","total","pa.pc","ny.pc"
"Crocus","Crocus vernus",1,2,3,33.3333333333333,66.6666666666667
"Crotalaria","Crotalaria sagittalis",1,0,1,100,0
"Croton","Croton glandulosus",2,9,11,18.1818181818182,81.8181818181818
"Cruciata","Cruciata pedemontana",3,3,6,50,50
"Cryptotaenia","Cryptotaenia canadensis",243,103,346,70.2312138728324,29.7687861271676
"Cubelium","Cubelium concolor",7,18,25,28,72
"Cucumis","Cucumis melo",6,13,19,31.578947368421,68.421052631579
"Cucumis","Cucumis sativus",78,101,179,43.5754189944134,56.4245810055866
"Cucurbita","Cucurbita maxima",9,7,16,56.25,43.75
"Cucurbita","Cucurbita moschata",4,2,6,66.6666666666667,33.3333333333333
"Cucurbita","Cucurbita pepo",21,39,60,35,65
"Cunila","Cunila origanoides",36,7,43,83.7209302325581,16.2790697674419
"Cunninghamia","Cunninghamia lanceolata",1,0,1,100,0
"Cuphea","Cuphea viscosissima",22,1,23,95.6521739130435,4.34782608695652
"Cuscuta","Cuscuta campestris",9,4,13,69.2307692307692,30.7692307692308
"Cuscuta","Cuscuta gronovii",12,15,27,44.4444444444444,55.5555555555556
"Cyclospermum","Cyclospermum leptophyllum",1,3,4,25,75
"Cydonia","Cydonia oblonga",6,31,37,16.2162162162162,83.7837837837838
"Cymbalaria","Cymbalaria muralis",192,140,332,57.8313253012048,42.1686746987952
"Cynanchum","Cynanchum laeve",5,6,11,45.4545454545455,54.5454545454545
"Cynodon","Cynodon dactylon",11,17,28,39.2857142857143,60.7142857142857
"Cynoglossum","Cynoglossum amabile",17,24,41,41.4634146341463,58.5365853658537
"Cynoglossum","Cynoglossum officinale",7,5,12,58.3333333333333,41.6666666666667
"Cyperus","Cyperus bipartitus",6,20,26,23.0769230769231,76.9230769230769
"Cyperus","Cyperus brevifolioides",1,10,11,9.09090909090909,90.9090909090909
"Cyperus","Cyperus brevifolius",3,2,5,60,40
"Cyperus","Cyperus dentatus",1,9,10,10,90
"Cyperus","Cyperus difformis",2,4,6,33.3333333333333,66.6666666666667
"Cyperus","Cyperus echinatus",2,9,11,18.1818181818182,81.8181818181818
"Cyperus","Cyperus erythrorhizos",2,8,10,20,80
"Cyperus","Cyperus esculentus",76,75,151,50.3311258278146,49.6688741721854
"Cyperus","Cyperus flavescens",4,4,8,50,50
"Cyperus","Cyperus iria",1,21,22,4.54545454545455,95.4545454545455
"Cyperus","Cyperus microiria",1,9,10,10,90
"Cyperus","Cyperus odoratus",4,19,23,17.3913043478261,82.6086956521739
"Cyperus","Cyperus squarrosus",1,8,9,11.1111111111111,88.8888888888889
"Cyperus","Cyperus strigosus",63,63,126,50,50
"Cypripedium","Cypripedium acaule",295,637,932,31.6523605150215,68.3476394849785
"Cypripedium","Cypripedium parviflorum",4,7,11,36.3636363636364,63.6363636363636
"Cypripedium","Cypripedium reginae",1,0,1,100,0
"Cyrtomium","Cyrtomium falcatum",1,2,3,33.3333333333333,66.6666666666667
"Cyrtomium","Cyrtomium fortunei",5,3,8,62.5,37.5
"Cyrtosia","Cyrtosia septentrionalis",1,0,1,100,0
"Cystopteris","Cystopteris bulbifera",3,87,90,3.33333333333333,96.6666666666667
"Cystopteris","Cystopteris fragilis",1,3,4,25,75
"Cystopteris","Cystopteris protrusa",7,0,7,100,0
"Cystopteris","Cystopteris tenuis",6,14,20,30,70
"Cytisus","Cytisus scoparius",1,10,11,9.09090909090909,90.9090909090909
"Dactylis","Dactylis glomerata",276,560,836,33.0143540669856,66.9856459330144
"Dalibarda","Dalibarda repens",48,85,133,36.0902255639098,63.9097744360902
"Danthonia","Danthonia compressa",10,3,13,76.9230769230769,23.0769230769231
"Danthonia","Danthonia sericea",1,0,1,100,0
"Danthonia","Danthonia spicata",39,64,103,37.8640776699029,62.1359223300971
"Dasiphora","Dasiphora fruticosa",95,180,275,34.5454545454545,65.4545454545455
"Datura","Datura innoxia",2,5,7,28.5714285714286,71.4285714285714
"Datura","Datura metel",2,1,3,66.6666666666667,33.3333333333333
"Datura","Datura stramonium",231,462,693,33.3333333333333,66.6666666666667
"Datura","Datura wrightii",15,38,53,28.3018867924528,71.6981132075472
"Daucus","Daucus carota",1129,1924,3053,36.9800196528005,63.0199803471995
"Decodon","Decodon verticillatus",47,147,194,24.2268041237113,75.7731958762887
"Delphinium","Delphinium ajacis",34,7,41,82.9268292682927,17.0731707317073
"Delphinium","Delphinium tricorne",103,0,103,100,0
"Dendrolycopodium","Dendrolycopodium dendroideum",31,65,96,32.2916666666667,67.7083333333333
"Dendrolycopodium","Dendrolycopodium hickeyi",7,8,15,46.6666666666667,53.3333333333333
"Dendrolycopodium","Dendrolycopodium obscurum",149,78,227,65.6387665198238,34.3612334801762
"Deparia","Deparia acrostichoides",110,34,144,76.3888888888889,23.6111111111111
"Deschampsia","Deschampsia cespitosa",3,1,4,75,25
"Desmanthus","Desmanthus illinoensis",4,0,4,100,0
"Desmidium","Desmidium swartzii",1,0,1,100,0
"Desmodium","Desmodium canadense",58,143,201,28.8557213930348,71.1442786069652
"Desmodium","Desmodium canescens",7,6,13,53.8461538461538,46.1538461538462
"Desmodium","Desmodium glabellum",24,5,29,82.7586206896552,17.2413793103448
"Desmodium","Desmodium marilandicum",5,22,27,18.5185185185185,81.4814814814815
"Desmodium","Desmodium nuttallii",1,0,1,100,0
"Desmodium","Desmodium paniculatum",87,90,177,49.1525423728814,50.8474576271186
"Desmodium","Desmodium perplexum",4,6,10,40,60
"Desmodium","Desmodium rotundifolium",8,6,14,57.1428571428571,42.8571428571429
"Deutzia","Deutzia crenata",19,4,23,82.6086956521739,17.3913043478261
"Deutzia","Deutzia scabra",19,21,40,47.5,52.5
"Dianthera","Dianthera americana",61,16,77,79.2207792207792,20.7792207792208
"Dianthus","Dianthus armeria",460,609,1069,43.0308699719364,56.9691300280636
"Dianthus","Dianthus barbatus",181,211,392,46.1734693877551,53.8265306122449
"Dianthus","Dianthus deltoides",3,77,80,3.75,96.25
"Dianthus","Dianthus plumarius",1,0,1,100,0
"Diarrhena","Diarrhena americana",1,0,1,100,0
"Dicentra","Dicentra canadensis",149,69,218,68.348623853211,31.651376146789
"Dicentra","Dicentra cucullaria",515,308,823,62.5759416767922,37.4240583232078
"Dicentra","Dicentra eximia",5,29,34,14.7058823529412,85.2941176470588
