"genus","species","pa","ny","total","pa.pc","ny.pc","evenness"
"Prunus","Prunus persica",89,84,173,51.4450867052023,48.5549132947977,0.971098265895954
"Helianthus","Helianthus annuus",63,93,156,40.3846153846154,59.6153846153846,0.807692307692308
"Solidago","Solidago gigantea",71,84,155,45.8064516129032,54.1935483870968,0.916129032258065
"Ilex","Ilex glabra",17,134,151,11.2582781456954,88.7417218543046,0.225165562913907
"Rubus","Rubus laciniatus",34,114,148,22.972972972973,77.027027027027,0.459459459459459
"Symphyotrichum","Symphyotrichum pilosum",86,62,148,58.1081081081081,41.8918918918919,0.837837837837838
"Prunus","Prunus cerasifera",62,82,144,43.0555555555556,56.9444444444444,0.861111111111111
"Solidago","Solidago canadensis",62,81,143,43.3566433566434,56.6433566433566,0.867132867132867
"Symphyotrichum","Symphyotrichum lanceolatum",38,96,134,28.3582089552239,71.6417910447761,0.567164179104478
"Prunus","Prunus avium",56,76,132,42.4242424242424,57.5757575757576,0.848484848484848
"Rubus","Rubus idaeus",22,105,127,17.3228346456693,82.6771653543307,0.346456692913386
"Lonicera","Lonicera canadensis",16,104,120,13.3333333333333,86.6666666666667,0.266666666666667
"Solidago","Solidago nemoralis",45,71,116,38.7931034482759,61.2068965517241,0.775862068965517
"Rubus","Rubus hispidus",35,76,111,31.5315315315315,68.4684684684685,0.630630630630631
"Symphyotrichum","Symphyotrichum laeve",15,95,110,13.6363636363636,86.3636363636364,0.272727272727273
"Viburnum","Viburnum setigerum",31,77,108,28.7037037037037,71.2962962962963,0.574074074074074
"Rubus","Rubus allegheniensis",43,61,104,41.3461538461538,58.6538461538462,0.826923076923077
"Malus","Malus domestica",44,59,103,42.7184466019417,57.2815533980583,0.854368932038835
"Lonicera","Lonicera sempervirens",53,41,94,56.3829787234043,43.6170212765957,0.872340425531915
"Pycnanthemum","Pycnanthemum virginianum",60,34,94,63.8297872340426,36.1702127659574,0.723404255319149
"Helianthus","Helianthus divaricatus",31,60,91,34.0659340659341,65.9340659340659,0.681318681318681
"Symphyotrichum","Symphyotrichum prenanthoides",41,49,90,45.5555555555556,54.4444444444444,0.911111111111111
"Lonicera","Lonicera dioica",21,67,88,23.8636363636364,76.1363636363636,0.477272727272727
"Symphyotrichum","Symphyotrichum puniceum",32,55,87,36.7816091954023,63.2183908045977,0.735632183908046
"Lonicera","Lonicera fragrantissima",29,47,76,38.1578947368421,61.8421052631579,0.763157894736842
"Viburnum","Viburnum recognitum",28,48,76,36.8421052631579,63.1578947368421,0.736842105263158
"Acer","Acer nigrum",42,26,68,61.7647058823529,38.2352941176471,0.764705882352941
"Rubus","Rubus flagellaris",43,25,68,63.2352941176471,36.7647058823529,0.735294117647059
"Helianthus","Helianthus tuberosus",21,41,62,33.8709677419355,66.1290322580645,0.67741935483871
"Cucurbita","Cucurbita pepo",21,39,60,35,65,0.7
"Acer","Acer campestre",27,32,59,45.7627118644068,54.2372881355932,0.915254237288136
"Salix","Salix discolor",19,39,58,32.7586206896552,67.2413793103448,0.655172413793104
