"folder","file","output","reval"
"retvals_42077.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/42077/m_4207743_ne_18_1_20171018.200.jpg.aux.xml","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/42077/m_4207743_ne_18_1_20171018.200.jpg.aux.xml",1
"retvals_42077.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/42077/m_4207743_ne_18_1_20171018.tif","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/42077/m_4207743_ne_18_1_20171018.tif",1
"retvals_42077.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/42077/m_4207743_nw_18_1_20171018.200.jpg","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/42077/m_4207743_nw_18_1_20171018.200.jpg",1
"retvals_42077.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/42077/m_4207743_nw_18_1_20171018.200.jpg.aux.xml","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/42077/m_4207743_nw_18_1_20171018.200.jpg.aux.xml",1
"retvals_42077.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/42077/m_4207743_nw_18_1_20171018.tif","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/42077/m_4207743_nw_18_1_20171018.tif",1
"retvals_42078.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/42078/m_4207843_se_17_1_20171002.200.jpg.aux.xml","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/42078/m_4207843_se_17_1_20171002.200.jpg.aux.xml",1
"retvals_42078.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/42078/m_4207843_se_17_1_20171002.tif","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/42078/m_4207843_se_17_1_20171002.tif",1
"retvals_42078.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/42078/m_4207843_sw_17_1_20171002.200.jpg","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/42078/m_4207843_sw_17_1_20171002.200.jpg",1
"retvals_42078.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/42078/m_4207843_sw_17_1_20171002.200.jpg.aux.xml","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/42078/m_4207843_sw_17_1_20171002.200.jpg.aux.xml",1
"retvals_42078.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/42078/m_4207843_sw_17_1_20171002.tif","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/42078/m_4207843_sw_17_1_20171002.tif",1
"retvals_42078.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/42078/m_4207844_ne_17_1_20171003.200.jpg","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/42078/m_4207844_ne_17_1_20171003.200.jpg",1
"retvals_42078.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/42078/m_4207844_ne_17_1_20171003.200.jpg.aux.xml","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/42078/m_4207844_ne_17_1_20171003.200.jpg.aux.xml",1
"retvals_42078.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/42078/m_4207844_ne_17_1_20171003.tif","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/42078/m_4207844_ne_17_1_20171003.tif",1
"retvals_43073.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/43073/m_4307358_ne_18_1_20170923.200.jpg","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/43073/m_4307358_ne_18_1_20170923.200.jpg",1
"retvals_43073.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/43073/m_4307358_ne_18_1_20170923.200.jpg.aux.xml","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/43073/m_4307358_ne_18_1_20170923.200.jpg.aux.xml",1
"retvals_43073.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/43073/m_4307358_ne_18_1_20170923.tif","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/43073/m_4307358_ne_18_1_20170923.tif",1
"retvals_43074.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/43074/m_4307442_sw_18_1_20170911.tif","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/43074/m_4307442_sw_18_1_20170911.tif",1
"retvals_43074.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/43074/m_4307443_ne_18_1_20170911.200.jpg","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/43074/m_4307443_ne_18_1_20170911.200.jpg",1
"retvals_43074.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/43074/m_4307443_ne_18_1_20170911.200.jpg.aux.xml","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/43074/m_4307443_ne_18_1_20170911.200.jpg.aux.xml",1
"retvals_43074.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/43074/m_4307443_ne_18_1_20170911.tif","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/43074/m_4307443_ne_18_1_20170911.tif",1
"retvals_43074.csv","https://naipeuwest.blob.core.windows.net/naip/v002/ny/2017/ny_100cm_2017/43074/m_4307443_nw_18_1_20170911.200.jpg","/storage/group/hlc30/default/data/deepflora/SCRATCH/ny_100cm_2017/43074/m_4307443_nw_18_1_20170911.200.jpg",1
